Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2707.0,Decibelímetro,"Decibelímetro, resolução som: 0,10 db, faixa medição: 30 a 130 db, faixa frequência: 20 hz a 8 khz, tipo visor: digital, tipo microfone: eletreto 12 mm, tipo mudança escala: manual e automática, tipo alimentação: bateria, voltagem bateria: 9 v, temperatura operação: 0 a 60 °c, temperatura conservação: -10 a 60 °c, precisão: +,- 0,50 db, aplicação: medição nível ruído, normas técnicas: iec 651 tipo 2 e ansi s1.4 tipo 2, características adicionais: indicação bateria fraca.",250.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,1.0,2022-06-29,2025-12-10,063-2025
,2708.0,Esmerilhadeira ,"Esmerilhadeira, Tipo Angular, Voltagem 220V, Potência 2.600W, Rotação 8.500rpm, Diâmetro Disco 7 Pol.",1037.85,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,47410.0,2022-06-24,2025-12-10,063-2025
,2709.0,Esmerilhadeira ,"Esmerilhadeira, Tipo Angular, Voltagem 220V, Potência 2.600W, Rotação 8.500rpm, Diâmetro Disco 7 Pol.",1037.85,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,47410.0,2022-06-24,2025-12-10,063-2025
,2710.0,Parafusadeira ,Parafusadeira elétrica sem fio 1700rpm 110V/220V 12V com maleta de transporte,597.23,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,47410.0,2022-06-24,2025-12-10,063-2025
,2711.0,Parafusadeira ,Parafusadeira elétrica sem fio 1700rpm 110V/220V 12V com maleta de transporte,597.23,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,47410.0,2022-06-24,2025-12-10,063-2025
,2712.0,Bancada Eletropneumática,"Bancada Simples
Estrutura em Perfil de alumínio, com utilização em apenas um dos lados
Gaveteiro para componentes
Componentes Pneumáticos de engate rápido em magueiras de 4mm
Componentes Pneumáticos identificados com simbologia oficial
Fonte alimentação 110V ou Bivolt, saída 24 VDC/5A, proteção contra curto circuito,
Conjunto de componentes para montagens didáticas (Exemplo de componentes, a empresa pode oferecer
equivalentes: Atuadores de Simples Ação, Atuadores de Dupla Ação, Válvulas Reguladoras de Fluxo
Unidirecional, Válvula alternadora Elemento ""OU"", Válvula simultaneidade Elemento ""E"", Válvula direcional
5/2 vias acionada por simples piloto com retorno por mola, Válvula direcional 5/2 vias acionada por duplo
piloto, Válvula direcional 3/2 vias NF acionamento por botão liso retorno por mola, Válvula direcional 3/2
vias NF acionamento por botão com trava, Válvula direcional 3/2 vias NF acionamento por rolete mecânico
retorno por mola, Válvula direcional 3/2 vias NF acionamento por rolete mecânico escamotiável, Válvula
temporizadora 3/2 vias NA/NF configurável, tempo e retardo de 0- 30s, Válvula direcional 5/2 vias acionada
por simples solenoide retorno por mola, Válvula direcional 5/2 vias acionada por duplo solenoide
(memória), Válvula direcional 3/2 vias NF acionada por simples solenoide retorno por mola,
Pressostato/vacuostato com display LCD para leitura de valores de pressão e vácuo, Chave fim de curso com
um contato comutador acionamento por rolete mecânico, Sensor magnético indutivo com tensão de
alimentação 24 VDC para detecção de embolo magnético dos atuadores, Sensor capacitivo alimentação 24
VDC para detecção por aproximação, Sensor óptico alimentação 24 VDC para detecção por aproximação...)",37600.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,97.0,2022-06-24,2025-12-10,063-2025
,2713.0,Bancada Eletropneumática,"Bancada Dupla
Estrutura em Perfil de alumínio, com utilização em ambos os lados
Gaveteiro para componentes
Componentes Pneumáticos de engate rápido em magueiras de 4mm
Componentes Pneumáticos identificados com simbologia oficial
Fonte alimentação 110V ou Bivolt, saída 24 VDC/5A, proteção contra curto circuito,
Conjunto de componentes para montagens didáticas (Exemplo de componentes, a empresa pode oferecer
equivalentes: Atuadores de Simples Ação, Atuadores de Dupla Ação, Válvulas Reguladoras de Fluxo.
Unidirecional, Válvula alternadora Elemento ""OU"", Válvula simultaneidade Elemento ""E"", Válvula direcional
5/2 vias acionada por simples piloto com retorno por mola, Válvula direcional 5/2 vias acionada por duplo
piloto, Válvula direcional 3/2 vias NF acionamento por botão liso retorno por mola, Válvula direcional 3/2
vias NF acionamento por botão com trava, Válvula direcional 3/2 vias NF acionamento por rolete mecânico
retorno por mola, Válvula direcional 3/2 vias NF acionamento por rolete mecânico escamotiável, Válvula
temporizadora 3/2 vias NA/NF configurável, tempo e retardo de 0- 30s, Válvula direcional 5/2 vias acionada
por simples solenoide retorno por mola, Válvula direcional 5/2 vias acionada por duplo solenoide
(memória), Válvula direcional 3/2 vias NF acionada por simples solenoide retorno por mola,
Pressostato/vacuostato com display LCD para leitura de valores de pressão e vácuo, Chave fim de curso com
um contato comutador acionamento por rolete mecânico, Sensor magnético indutivo com tensão de
alimentação 24 VDC para detecção de embolo magnético dos atuadores, Sensor capacitivo alimentação 24
VDC para detecção por aproximação, Sensor óptico alimentação 24 VDC para detecção por aproximação...)",59450.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,97.0,2022-06-24,2025-12-10,063-2025
,2714.0,Kit de Microfone sem fio,"Kit de microfone sem fio de mão. Incluso: 1x Receptor R41 32 MHz Diversity; 1 x Modulo transmissor de mão H60 com capsula OM2; 2 Antenas; 1x cabo de áudio; 1x clip; 2x pilhas AA; 1x Case para transporte, 1x Fonte de Alimentação; 1x Hardware para montagem em rack.",900.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,354.0,2024-04-15,2025-12-10,063-2025
,2715.0,Kit de Microfone sem fio,"Kit de microfone sem fio de mão. Incluso: 1x Receptor R41 32 MHz Diversity; 1 x Modulo transmissor de mão H60 com capsula OM2; 2 Antenas; 1x cabo de áudio; 1x clip; 2x pilhas AA; 1x Case para transporte, 1x Fonte de Alimentação; 1x Hardware para montagem em rack.",900.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,354.0,2024-04-15,2025-12-10,063-2025
,2716.0,Kit de Microfone sem fio,"Kit de microfone sem fio de mão. Incluso: 1x Receptor R41 32 MHz Diversity; 1 x Modulo transmissor de mão H60 com capsula OM2; 2 Antenas; 1x cabo de áudio; 1x clip; 2x pilhas AA; 1x Case para transporte, 1x Fonte de Alimentação; 1x Hardware para montagem em rack.",900.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,354.0,2024-04-15,2025-12-10,063-2025
,,,,173239.46,,,,,,,,,
